col_name
word_count
avg_letter_count
SpeechRate
NDW
CTTR
overall_subtlex_freq
overall_AoA
overall_FAM
overall_IMG
LD
LV
NN_ratio
NN_subtlex_freq
NN_AoA
NN_FAM
NN_IMG
NV
VB_count
VB_subtlex_freq
VB_AoA
VB_FAM
VB_IMG
CVV1
JJ_ratio
JJ_subtlex_freq
JJ_AoA
JJ_FAM
JJ_IMG
ADJV
RB_ratio
RB_subtlex_freq
RB_AoA
RB_FAM
RB_IMG
ADVV
DT_ratio
IN_ratio
sentence_count
MLS
S_count
MLC
C/S
S_avg_depth
S_avg_yngve_depth
S_avg_width
DC/C
NP_count
NP_avg_depth
NP_avg_yngve_depth
NP_avg_width
VP_count
VP_avg_depth
VP_avg_yngve_depth
VP_avg_width
NP_NP_avg_dist
VP_VP_avg_dist
NP_VP_avg_dist
