WORD,IMG,IMG_SD,AoA,AoA_SD,FAM,FAM_SD,CON,CON_SD,UNCERTAINTY
FARMYARD,6.00,1.16,2.61,0.68,4.43,1.40,6.43,0.69,0.00
FASHION,4.84,1.76,4.67,1.08,5.52,1.20,3.31,1.65,0.45
FAT,6.03,1.30,2.36,0.82,6.04,1.23,5.66,1.33,1.14
FATHERLAND,3.84,2.05,5.31,1.27,2.86,1.07,3.63,1.84,0.00
FAVOURITE,3.84,1.84,3.03,0.90,5.94,0.99,3.09,1.61,0.00
FAWN,5.70,1.47,3.94,1.03,3.77,1.23,6.46,0.69,0.53
FEAST,6.16,0.97,3.51,0.73,4.57,1.36,5.68,1.45,0.00
FEE,4.46,1.57,4.44,0.96,5.15,1.15,4.54,1.71,0.00
FEELING,3.76,1.70,3.39,0.95,6.12,0.96,2.51,1.71,0.98
FELLOW,4.41,1.91,3.78,0.98,4.75,1.51,5.23,1.49,1.23
FENCING,5.24,1.58,4.97,0.93,3.95,1.38,5.49,1.34,0.97
FERRY,5.87,1.21,3.78,0.79,4.49,1.47,6.15,1.06,0.00
FERVOUR,3.51,2.00,5.86,0.92,3.49,0.87,3.03,1.56,0.00
FEVER,5.69,1.24,3.58,0.79,4.54,1.44,5.11,1.17,0.00
FIANCEE,5.19,1.87,5.19,0.94,4.60,1.37,5.57,1.57,0.00
FIDDLE,5.81,1.27,3.67,0.75,4.29,1.39,6.11,1.09,0.63
FIELDER,4.78,1.77,4.58,1.09,3.65,1.08,5.31,1.53,0.00
FIFTEEN,4.97,1.64,2.89,0.81,5.39,1.28,3.83,2.17,0.00
FIGHT,5.49,1.43,2.61,0.72,5.61,1.19,4.69,1.51,0.00
FILLING,4.83,1.85,3.47,0.76,5.62,1.07,5.23,1.59,1.37
FINANCE,4.11,1.69,5.22,0.75,5.15,1.25,3.74,1.79,0.00
FIND,3.62,1.79,2.72,0.73,6.00,1.20,3.51,1.66,0.00
FINISH,4.43,1.87,3.00,0.82,6.17,1.01,3.43,1.68,0.00
FIREARM,5.38,1.24,4.58,1.01,3.93,1.11,6.03,1.00,0.00
FIREWOOD,5.92,1.36,3.31,0.81,4.44,1.35,6.66,0.63,0.00
FISHERMAN,6.11,1.31,2.89,0.74,4.65,1.29,6.00,1.47,0.00
FISSURE,3.87,2.00,6.31,0.94,2.85,1.12,4.94,1.89,0.00
FLAG,6.03,1.37,2.58,0.60,4.98,1.54,6.37,1.07,0.45
FLAME,6.19,1.20,2.61,0.72,5.52,1.32,6.09,1.13,0.00
FLASH,5.19,1.62,3.14,0.67,5.04,1.41,4.91,1.57,0.34
FLATBOAT,4.08,1.78,5.00,1.35,2.28,0.88,6.00,1.24,0.00
FLAVOUR,4.78,1.54,3.42,0.76,5.38,1.20,4.63,1.57,0.00
FLEECE,5.62,1.57,3.67,0.88,4.08,1.19,6.11,0.92,0.17
FLESH,5.54,1.57,4.11,0.70,4.85,1.37,6.40,0.76,0.00
FLIES,6.19,1.39,2.31,0.85,5.46,1.37,6.31,1.14,0.75
FLOCK,5.22,1.74,2.94,0.88,4.34,1.20,4.94,1.45,0.00
FLORA,4.78,1.60,5.69,1.13,3.38,1.33,5.85,1.06,0.67
FLOURISH,3.97,1.81,4.89,0.84,4.15,1.24,3.20,1.67,0.89
FLUE,4.06,1.99,5.61,1.19,3.01,1.30,5.20,1.72,0.00
FLUTTER,4.87,1.61,4.63,1.24,3.93,1.35,3.91,1.46,2.05
FLYER,4.84,1.48,4.06,0.91,4.33,1.29,4.83,1.78,0.00
FOE,4.41,1.78,4.53,1.01,3.44,1.12,4.34,1.55,0.00
FOLLOWING,3.35,1.68,3.94,1.00,5.38,1.28,2.91,1.40,1.04
FONT,5.03,1.59,5.47,1.48,3.38,1.40,5.97,1.46,0.00
FOOTBALL,6.25,1.04,2.33,1.05,5.64,1.35,6.20,1.51,0.47
FOOTSTEP,5.32,1.82,3.17,0.96,5.17,1.54,4.86,1.53,0.00
FORCE,4.43,1.88,3.72,0.90,5.52,1.00,3.29,1.67,2.13
FOREARM,5.35,1.74,4.36,1.23,4.74,1.22,6.43,0.93,0.00
FOREIGNER,5.22,1.73,4.47,0.99,4.99,1.30,5.11,1.62,0.00
FORELOCK,4.27,1.81,5.42,1.46,3.53,1.54,5.94,1.04,0.00
FOREST,6.46,0.83,2.97,0.97,4.91,1.33,6.37,0.99,0.00
FORFEIT,3.16,1.46,5.33,0.97,3.80,1.40,2.89,1.39,0.00
FORK,6.03,1.26,2.25,0.80,6.39,0.89,6.60,0.72,0.29
FORM,4.94,1.91,3.83,1.07,5.75,1.21,5.46,1.59,2.04
FORT,5.65,1.40,3.28,0.65,4.18,1.48,6.11,1.21,0.00
FORTIFICATION,4.32,1.68,5.61,1.06,3.56,1.08,4.74,1.84,0.00
FORTUNE,4.59,1.60,3.75,0.79,5.02,1.30,3.43,1.61,0.88
FOUNDATION,4.35,1.68,4.78,0.85,4.75,1.25,4.77,1.49,1.35
FOUNTAIN,6.08,1.06,3.89,1.17,4.69,1.50,6.26,1.15,0.00
FOX,6.27,1.08,2.83,0.69,4.63,1.33,6.74,0.50,0.29
FRAME,5.14,1.63,3.94,0.85,4.94,1.29,5.91,1.02,0.83
FRANCHISE,2.89,1.86,6.50,0.65,3.02,1.20,3.51,1.70,0.00
FRANKFURTER,5.78,1.44,5.67,1.13,3.67,1.41,6.57,0.65,0.00
FRAUD,3.70,1.57,5.19,0.97,4.15,1.29,3.29,1.60,0.00
FREEDOM,4.57,1.69,4.25,1.01,5.46,1.21,2.50,1.54,0.00
FREIGHT,3.97,1.59,5.42,1.16,3.54,1.12,5.17,1.25,0.00
