WORD,IMG,IMG_SD,AoA,AoA_SD,FAM,FAM_SD,CON,CON_SD,UNCERTAINTY
IMPRESSION,3.19,1.96,4.86,0.82,5.54,1.09,2.80,1.56,1.49
IMPRINT,3.38,1.79,5.42,0.92,4.39,1.39,4.31,1.70,0.00
IMPROVEMENT,3.38,1.55,4.42,1.01,5.64,0.93,3.23,1.55,0.00
IMPUNITY,1.89,1.27,6.64,0.63,2.54,1.19,2.29,1.38,0.00
INACTION,2.76,1.70,5.89,0.94,3.27,1.36,2.91,1.66,0.00
INAUGURATION,3.30,1.72,6.39,0.72,3.11,1.27,3.00,1.55,0.00
INCANTATION,3.24,1.95,6.56,0.64,2.57,1.32,3.46,1.68,0.00
INCIDENT,3.59,1.58,4.58,0.80,5.04,1.07,3.49,1.48,0.00
INCLINE,4.35,1.86,5.00,0.82,4.67,1.37,3.80,1.58,1.42
INCOME,4.81,1.50,5.06,1.29,5.21,1.12,4.40,1.64,0.00
INCONGRUITY,2.16,1.44,6.72,0.51,3.06,1.02,1.89,1.09,0.00
INCREASE,3.62,1.87,4.19,0.97,5.90,1.14,3.11,1.58,0.00
INCREDULITY,3.03,1.90,6.56,0.64,3.51,1.09,2.23,1.24,0.00
INCURSION,1.70,1.11,6.64,0.63,2.77,0.89,2.66,1.57,0.00
INDEPENDENCE,4.46,1.97,5.22,1.00,5.43,1.24,2.29,1.38,0.00
INDICATION,3.46,1.85,4.81,0.84,4.99,1.23,2.74,1.44,0.00
INDIGENOUS,2.70,1.54,6.58,0.72,3.30,1.40,2.66,1.62,0.00
INDISCRETION,3.11,1.87,6.31,0.95,3.84,1.14,2.37,1.38,0.00
INDIVIDUAL,4.46,1.99,4.54,0.91,5.86,0.94,4.91,1.78,0.00
INDOLENCE,2.33,1.45,6.51,0.69,2.83,1.21,1.94,1.07,0.00
INDUSTRY,4.46,1.72,4.92,0.95,5.58,1.15,4.57,1.32,0.63
INEFFICIENCY,3.22,1.54,5.60,0.90,4.65,1.22,2.09,1.05,0.00
INEXPERIENCE,3.11,1.93,5.36,0.75,4.73,1.28,2.34,1.12,0.00
INFALLIBILITY,2.81,1.74,6.39,0.86,3.32,1.10,2.09,0.97,0.00
INFANTRY,4.89,1.57,4.75,1.34,3.51,1.20,5.54,1.57,0.00
INFERNO,5.78,1.36,5.25,0.98,4.01,1.18,5.06,1.37,0.00
INFINITY,4.75,2.17,5.75,1.04,4.85,1.39,1.86,1.66,0.00
INFLUENCE,2.76,1.40,5.42,1.04,5.39,1.12,2.71,1.32,0.00
INFORMATION,3.70,1.89,3.97,0.76,5.90,1.26,3.94,1.76,0.00
INFRINGEMENT,2.84,1.62,6.33,0.75,3.61,1.19,2.51,1.18,0.00
INHABITANT,4.22,1.93,4.69,0.81,4.66,1.21,5.06,1.62,0.00
INHIBITION,3.89,1.86,6.17,0.91,4.76,1.39,2.51,1.25,0.00
INITIATION,3.76,1.92,5.97,0.83,3.89,1.22,2.63,1.48,0.00
INN,5.81,1.41,3.44,0.93,4.30,1.32,6.37,0.80,0.00
INNOCENCE,3.89,1.78,4.78,0.92,5.22,1.21,2.34,1.41,0.00
INOCULATION,5.19,1.52,5.31,1.43,3.64,1.42,4.86,1.61,0.00
INQUIRY,3.27,1.55,4.83,0.81,4.85,1.15,3.60,1.74,0.00
INSECT,5.95,1.39,2.83,0.93,5.41,1.18,6.51,0.73,0.00
INSIGHT,3.35,1.63,5.46,0.84,4.62,1.31,2.60,1.48,0.00
INSISTENCE,3.30,1.83,5.56,0.83,4.11,1.27,2.51,1.11,0.00
INSOLENCE,4.05,1.99,5.11,1.22,3.96,1.28,2.20,1.12,0.00
INSTANCE,2.41,1.62,4.71,0.78,5.02,1.33,2.31,1.39,0.00
INSTINCT,3.78,1.96,4.89,0.97,5.18,1.33,3.06,1.96,0.00
INSTITUTION,4.41,1.87,5.53,1.01,4.79,1.25,4.14,1.71,0.00
INSUFFICIENCY,2.59,1.50,5.89,0.84,3.85,1.14,2.46,1.38,0.00
INSURANCE,3.71,1.52,5.08,1.06,4.84,1.35,3.11,1.79,0.00
INTELLIGENCE,3.89,1.52,4.58,1.11,5.70,1.05,2.66,1.66,0.00
INTEMPERANCE,2.68,1.95,6.51,0.73,2.36,1.10,2.35,1.19,0.00
INTENTION,2.92,1.60,4.81,0.70,5.25,1.21,2.77,1.49,0.00
INTEREST,3.68,1.92,4.11,0.81,5.75,1.10,3.06,1.57,1.58
INTERIOR,4.30,1.63,4.81,0.88,4.56,1.37,4.46,1.54,0.00
INTERMISSION,4.08,1.58,5.22,1.27,3.86,1.21,3.32,1.62,0.00
INTERPOSITION,2.08,1.21,6.42,0.79,3.02,1.09,2.46,1.44,0.00
INTERRUPTION,3.65,1.73,4.42,0.95,5.46,1.28,3.37,1.62,0.00
INTERVIEW,5.05,1.51,4.94,1.03,5.06,1.28,4.29,1.65,0.00
INTIMATION,3.51,1.85,6.08,1.11,3.71,1.26,3.06,1.71,0.00
INTOXICATION,5.76,1.36,5.97,0.96,3.78,1.27,3.77,1.74,0.00
INTRODUCTION,3.62,1.60,4.81,0.81,5.66,1.12,3.40,1.73,0.93
INVADER,4.25,1.88,4.39,1.14,4.02,1.34,5.03,1.54,0.00
INVENTION,4.14,1.51,4.06,0.81,4.89,1.17,3.94,1.64,0.00
INVESTIGATION,4.11,1.72,4.86,0.96,4.80,1.29,3.51,1.70,0.00
INVITATION,5.19,1.31,3.61,0.89,5.57,0.95,4.51,1.83,0.00
IODINE,5.14,1.77,5.58,1.23,3.96,1.71,6.06,1.37,0.00
IRON,5.61,1.50,2.81,0.91,5.64,1.25,6.40,0.99,0.97
IRONY,2.64,1.47,6.06,0.81,4.56,1.46,1.97,1.16,0.00
IRREGULARITY,3.59,2.06,5.64,0.98,4.31,1.26,2.60,1.52,0.00
IRRIGATION,4.62,1.53,5.64,0.95,3.99,1.42,4.66,1.39,0.00
IRRITATION,4.54,2.01,5.08,0.98,4.70,1.12,3.00,1.45,0.00
ISLAND,6.49,0.79,2.89,0.87,5.07,1.37,6.29,0.91,0.00
ISSUE,2.95,1.56,4.72,1.17,5.31,1.17,3.37,1.71,1.55
ITEM,3.62,1.96,4.06,0.91,5.27,1.26,4.37,1.68,0.00
JACK,4.22,2.08,4.14,1.46,4.57,1.62,6.11,1.35,2.32
JADE,4.65,1.99,5.72,1.04,3.59,1.30,6.00,1.35,1.13
JANITOR,5.14,1.55,3.81,0.99,4.63,1.58,5.57,1.55,0.00
JAR,5.89,1.56,2.42,0.49,5.77,1.34,6.43,0.87,0.17
JAW,5.61,1.42,3.61,0.95,5.06,1.18,6.51,0.81,0.00
JEER,4.36,1.77,4.86,0.95,3.78,1.24,3.37,1.42,0.00
JERK,4.89,1.80,4.00,0.88,4.11,1.57,4.26,1.56,0.17
JERSEY,5.78,1.47,3.06,1.15,5.59,1.35,6.57,0.60,0.98
JEWEL,6.36,0.92,2.92,0.92,4.88,1.33,6.46,0.84,0.00
JINGLE,5.03,1.58,3.86,1.42,4.09,1.25,4.49,1.50,1.14
JOBBER,2.32,1.56,6.39,0.95,2.30,1.24,4.63,1.93,0.00
JOKE,5.24,1.57,2.89,0.66,5.85,1.17,4.40,1.71,0.00
JOLT,4.32,1.69,4.31,0.94,4.24,1.32,4.34,1.37,0.00
JOURNAL,4.89,1.48,4.47,1.04,5.17,1.32,5.80,1.41,0.00
JOY,5.43,1.69,3.42,0.98,5.15,1.35,2.86,1.77,0.00
JOYOUSNESS,4.78,1.89,5.36,1.16,2.96,1.26,2.51,1.46,0.00
JUDGEMENT,3.39,1.70,4.97,0.87,5.06,1.29,2.49,1.38,0.00
JUICE,6.05,1.18,2.50,0.87,5.91,1.23,6.26,0.91,0.00
JUMP,5.16,1.60,2.22,0.53,5.54,1.25,4.63,1.49,0.00
JUNIOR,3.97,1.81,3.56,1.04,4.70,1.13,3.89,1.53,1.13
JUSTICE,4.22,1.76,5.00,0.82,4.77,1.16,2.60,1.50,0.00
JUSTIFICATION,3.32,1.96,6.03,0.96,4.11,1.28,2.03,1.11,0.00
KALE,3.97,2.27,5.75,1.40,2.56,1.41,5.86,1.74,0.00
KEEL,4.57,1.57,5.00,1.22,3.37,1.35,5.37,1.84,1.02
KEEPER,4.27,1.64,3.92,0.83,4.64,1.09,4.74,1.63,0.00
KENNEL,5.86,1.55,3.22,0.67,4.49,1.45,6.46,0.69,0.00
KETTLE,6.08,1.48,2.74,0.80,6.19,1.06,6.49,0.81,0.00
KICK,5.57,1.52,2.28,0.73,5.63,1.36,5.03,1.52,0.00
KILT,6.28,1.19,3.00,1.00,4.85,1.62,6.44,0.88,0.00
KINDNESS,4.46,1.80,3.28,0.77,5.54,1.18,2.71,1.51,0.00
KINK,4.86,1.68,5.23,1.24,3.56,1.52,4.31,1.58,0.78
KITTEN,6.49,0.86,2.19,0.70,4.66,1.46,6.77,0.59,0.00
KNEE,6.03,1.55,2.31,0.78,5.99,1.00,6.26,1.46,0.00
KNITTING,5.84,1.46,2.86,0.79,5.01,1.43,6.14,0.96,0.00
KNOWLEDGE,3.59,1.76,4.77,1.02,5.56,1.20,2.89,1.60,0.00
KNUCKLE,5.43,1.60,3.56,0.76,4.82,1.39,6.34,0.92,0.17
LABOUR,4.30,1.78,5.06,0.94,5.59,1.05,4.14,1.69,1.11
LAD,5.14,1.60,3.06,0.81,5.31,1.29,5.97,1.08,0.00
LADY,5.89,1.37,2.31,0.57,5.94,1.09,5.94,1.24,0.00
LAMB,6.39,1.09,1.86,0.58,5.34,1.29,6.77,0.42,0.00
LAMP,5.84,1.46,2.83,0.76,5.72,1.15,6.43,0.87,0.00
LAND,5.68,1.45,2.86,0.63,5.99,1.15,6.20,0.89,1.05
LANE,5.73,1.62,2.61,0.76,5.13,1.38,5.83,1.42,0.00
LAP,5.18,1.67,2.63,1.04,4.63,1.41,5.47,1.31,1.65
LARCH,5.14,1.71,4.06,0.78,4.06,1.42,6.60,0.64,0.00
LARKSPUR,2.69,2.19,6.22,1.13,2.09,1.26,5.00,2.38,0.00
LATCH,4.70,1.64,3.86,1.00,4.32,1.23,6.09,1.23,0.00
LATTER,2.62,1.81,5.36,0.89,4.44,1.39,2.71,1.61,0.00
LAUGHTER,6.19,0.91,3.22,0.79,5.70,1.22,4.20,1.70,0.00
LAUNDRY,5.65,1.49,3.67,1.05,5.02,1.45,6.06,1.09,0.81
LAW,4.32,1.71,3.83,0.76,5.67,1.02,3.43,1.95,0.00
LAWYER,5.49,1.60,4.81,0.97,4.82,1.45,5.97,1.38,0.00
LEAD,5.35,1.65,4.00,1.05,5.22,1.41,5.97,1.40,1.30
LEADER,5.03,1.50,3.53,0.80,5.60,1.14,4.69,1.62,0.29
LEAK,5.51,1.48,3.36,0.89,5.14,1.29,4.89,1.75,0.00
LEARNING,3.76,1.50,3.22,0.85,5.65,1.25,2.97,1.56,0.00
LECTURE,5.92,1.26,5.36,0.98,6.39,0.97,4.89,1.53,0.00
LEEK,5.46,1.65,3.89,0.87,4.31,1.48,6.57,0.90,0.00
LEGALITY,2.78,1.65,5.72,1.17,4.05,1.24,2.63,1.46,0.00
LEGHORN,2.68,1.80,6.25,0.86,2.23,1.36,4.89,2.16,0.00
LEMON,6.43,0.97,2.80,0.82,5.12,1.42,6.66,0.58,0.00
LENGTH,3.97,2.02,3.22,0.75,6.11,0.96,3.49,1.68,0.00
LENS,5.73,1.45,4.75,1.06,4.99,1.49,6.21,0.83,0.00
LESSON,4.44,1.69,2.72,0.56,5.57,1.30,3.89,1.91,0.00
LETTER,6.35,0.91,2.56,0.72,6.39,0.73,6.40,1.34,0.77
LEVITY,3.27,1.67,6.31,0.97,3.14,1.12,2.91,1.44,0.00
LIAR,4.35,1.83,3.08,0.72,5.23,1.28,4.34,1.53,0.00
LIBERTY,4.08,1.89,5.28,0.73,4.36,1.25,2.29,1.51,0.00
LIE,3.95,2.01,2.50,0.55,5.62,1.09,3.00,1.62,0.61
LIEUTENANT,4.78,1.86,4.61,1.01,3.93,1.36,5.66,1.26,0.00
LIFT,5.51,1.39,3.11,0.52,5.99,1.05,5.69,1.54,1.12
LIGHTNING,6.05,1.25,3.31,0.81,4.65,1.44,5.49,1.50,0.00
LILY,5.36,1.67,3.17,0.76,3.94,1.66,6.54,0.73,0.00
LIME,5.53,1.40,3.78,1.13,4.43,1.70,6.29,1.06,0.92
LINE,4.95,1.61,2.75,0.72,6.08,1.06,4.83,1.93,2.12
LINEN,5.57,1.28,3.86,1.03,4.91,1.50,6.14,1.12,0.00
LION,6.41,0.91,2.44,1.01,4.80,1.46,6.74,0.50,0.00
LIQUID,5.95,1.43,3.43,0.84,5.78,1.11,5.83,1.06,0.00
LISP,4.70,1.83,4.86,0.98,4.09,1.36,4.40,1.34,0.00
LITERATURE,5.11,1.31,4.94,0.85,5.19,1.27,4.97,1.65,0.00
LIVER,5.84,1.53,3.53,1.01,4.96,1.41,6.54,0.69,0.91
LOAN,3.95,1.80,4.28,0.87,5.51,1.19,3.69,1.62,0.00
LOBBY,4.68,1.63,4.06,1.61,4.20,1.46,5.57,1.46,1.20
LOCK,5.38,1.65,3.28,0.87,5.88,0.96,5.94,1.33,0.50
LODGE,4.70,1.59,4.56,0.98,4.29,1.36,5.63,1.53,1.51
LOGIC,3.00,1.58,5.50,1.04,5.04,1.35,2.37,1.69,0.00
LONELINESS,4.62,1.73,4.25,1.06,4.88,1.38,2.60,1.68,0.00
LOOK,4.05,1.90,2.25,0.55,6.39,0.82,3.77,1.71,0.00
LOOKOUT,4.41,1.68,3.81,0.99,4.23,1.18,4.63,1.62,0.00
LORD,4.92,1.92,3.42,1.06,4.88,1.39,4.57,2.03,0.71
LOSS,4.22,1.95,3.31,0.88,5.37,1.35,2.80,1.37,0.73
LOUDNESS,4.84,1.85,3.33,0.82,5.32,1.33,3.49,1.52,0.00
LOVE,5.86,1.23,3.03,1.17,6.32,0.80,3.20,2.04,0.00
LOWLAND,4.59,1.55,4.47,0.80,3.81,1.17,5.17,1.38,0.00
LOYALTY,4.03,1.68,4.97,0.87,4.62,1.38,2.77,1.64,0.00
LUCK,4.05,1.80,2.92,0.68,5.87,1.23,2.66,1.53,0.00
LUMBER,4.65,1.77,5.19,1.00,3.68,1.43,5.29,1.70,1.48
LUNCH,6.03,1.15,2.75,1.06,6.56,0.83,5.80,1.39,0.00
LUNGE,4.65,1.83,5.08,1.19,3.94,1.18,3.80,1.55,0.00
LUXURY,5.13,1.80,4.72,0.84,5.06,1.26,3.46,1.68,0.00
LYMPH,3.89,2.31,6.75,0.49,3.30,1.68,5.22,1.88,0.00
LYNX,5.00,1.79,5.11,1.22,3.02,1.06,6.31,0.98,0.00
MACARONI,5.92,1.42,3.81,1.27,4.85,1.35,6.69,0.57,0.00
MACHINERY,5.32,1.38,4.09,1.05,5.28,1.16,5.71,1.19,0.00
MACKEREL,5.46,1.72,4.36,1.13,3.98,1.42,6.74,0.50,0.00
MADMAN,5.51,1.59,4.17,1.01,4.07,1.41,4.86,1.71,0.00
MAGAZINE,5.92,1.34,3.53,0.76,6.12,0.95,6.20,0.95,0.34
MAGIC,4.64,1.83,2.81,0.74,4.81,1.45,2.46,1.50,0.00
MAGNESIUM,3.97,2.34,6.25,0.76,3.72,1.69,5.74,1.64,0.00
MAIDEN,5.30,1.43,4.29,1.08,3.67,1.20,5.51,1.32,0.17
MAIN,3.16,1.76,3.64,0.92,5.75,1.45,3.51,1.46,0.49
MAJORITY,3.95,1.96,5.31,0.81,5.25,1.17,3.09,1.68,0.00
MAKER,3.78,1.76,3.58,0.95,4.76,1.30,4.34,1.93,0.00
MALE,5.81,1.50,3.83,1.19,6.01,1.16,5.97,1.25,0.00
MALL,3.89,2.04,5.89,0.97,3.30,1.48,4.74,1.78,0.00
MANAGEMENT,4.24,1.92,5.08,1.01,5.27,1.10,3.89,1.62,0.00
MANGANESE,4.19,2.17,6.61,0.54,3.32,1.82,5.66,1.76,0.00
MANICURE,4.57,2.19,5.36,1.00,3.82,1.57,4.63,1.53,0.00
MANKIND,4.78,1.92,4.67,1.13,4.73,1.24,4.14,2.10,0.00
MANOR,5.51,1.43,4.19,0.84,4.04,1.48,5.91,1.13,0.00
MANUFACTURER,3.68,1.66,5.25,0.76,4.80,1.34,4.83,1.75,0.00
MARBLE,6.11,1.08,2.94,0.85,4.36,1.39,6.46,0.87,1.11
MARCH,5.14,1.88,2.69,0.81,5.31,1.38,4.63,1.93,0.91
MARGIN,5.00,1.76,4.03,0.93,4.99,1.45,4.89,1.95,1.00
MARKET,5.86,1.32,3.28,0.90,5.48,0.99,5.97,1.18,0.29
MARL,1.92,1.51,6.86,0.42,1.85,0.95,4.00,1.76,0.00
MARRIAGE,5.58,1.52,3.83,0.87,5.42,1.20,4.11,2.05,0.00
MARSHMALLOW,6.08,1.24,3.14,0.79,4.14,1.42,6.57,0.84,0.00
MARVEL,4.16,1.90,4.89,0.99,4.65,1.20,2.86,1.78,1.42
MASS,4.78,1.88,4.58,1.16,4.58,1.35,3.86,1.71,1.51
MAST,5.68,1.38,3.92,0.89,4.14,1.33,6.09,1.13,0.00
MATERIAL,4.84,1.75,3.78,0.85,5.64,1.11,5.69,1.33,1.30
MATERNITY,5.08,1.79,5.83,0.90,3.89,1.28,3.40,1.74,0.00
MATTER,2.84,1.60,4.11,1.51,5.72,1.23,4.51,2.13,1.62
MATURITY,4.35,1.76,5.53,0.90,4.75,1.41,2.20,1.06,0.00
MAYOR,5.49,1.41,4.36,0.95,3.97,1.31,5.51,1.50,0.00
MAZE,5.62,1.38,4.14,1.16,4.09,1.58,5.69,1.41,0.00
MEADOW,6.41,0.91,2.72,0.73,4.40,1.60,6.49,0.77,0.00
MEASURE,3.92,1.88,3.44,0.93,5.96,1.10,3.69,1.65,0.54
MECHANIC,5.36,1.72,4.33,0.97,4.67,1.50,6.11,1.49,0.00
MEDICINE,5.57,1.28,3.11,0.97,5.47,1.03,5.40,1.48,0.00
MEDIOCRITY,2.64,1.73,6.36,0.71,3.39,1.28,2.00,1.06,0.00
MEETING,4.46,1.57,3.56,0.90,6.06,0.81,4.23,1.67,0.00
MELEE,3.19,1.81,6.26,0.91,2.93,1.17,4.23,1.93,0.00
MEMBER,4.05,1.68,3.92,0.92,5.73,0.89,4.69,1.62,0.00
MEN,5.86,1.49,2.36,0.58,6.30,1.07,5.86,1.29,0.00
MENU,6.19,1.18,4.33,0.97,5.50,1.26,5.83,1.25,0.00
MERCHANT,4.78,1.70,4.08,0.83,4.39,1.32,5.40,1.53,0.00
MERIT,3.86,1.46,4.44,0.86,4.75,1.28,3.03,1.59,0.00
MERMAID,6.03,1.10,3.22,0.75,3.44,1.47,4.83,1.87,0.00
MESSENGER,5.11,1.66,3.83,0.83,4.91,1.31,5.51,1.48,0.00
METAL,5.62,1.65,3.08,0.79,5.89,1.04,6.09,1.18,0.00
METHOD,2.78,1.71,4.81,0.99,5.62,1.13,3.17,1.50,0.00
METHYLENE,4.11,2.00,6.81,0.40,3.23,1.48,5.86,1.33,0.00
MICA,4.03,2.33,6.26,0.91,2.53,1.56,4.91,2.20,0.00
MICROBE,4.00,1.99,6.22,0.71,3.39,1.54,5.00,1.83,0.00
MIDNIGHT,6.08,1.08,3.28,0.90,5.69,1.21,4.03,1.80,0.00
MIDSHIPMAN,3.75,1.91,5.75,1.14,2.59,1.02,5.56,1.79,0.00
MIGHT,3.70,1.96,4.00,0.75,5.14,1.49,2.91,1.57,0.93
MILE,5.11,1.56,3.14,0.80,5.95,1.18,4.49,1.86,0.00
MILITARY,4.84,1.78,4.28,0.73,4.58,1.23,4.26,1.44,0.00
MILLION,4.46,1.84,4.19,1.05,5.19,1.40,3.66,1.96,0.00
MILLSTONE,5.32,1.53,4.64,1.06,3.70,1.19,6.09,1.16,0.00
MINERAL,4.38,1.85,4.69,1.17,4.54,1.63,5.51,1.30,0.00
MINISTER,5.76,1.38,3.42,1.06,5.10,1.22,5.63,1.60,0.56
MINNOW,5.49,1.29,3.97,1.30,3.80,1.26,6.57,0.69,0.00
MINUTE,4.68,1.66,2.64,1.00,6.69,0.67,3.43,2.05,0.85
MIRROR,6.19,1.39,2.58,0.72,6.02,1.16,6.49,0.81,0.00
MISCHANCE,2.54,1.44,5.36,0.95,3.55,1.13,2.60,1.36,0.00
MISERY,4.30,1.84,4.50,0.93,4.76,1.38,2.69,1.37,0.00
MISMANAGEMENT,2.92,1.60,5.97,0.90,4.07,1.20,2.89,1.39,0.00
MIST,6.43,0.68,3.67,1.03,4.99,1.22,5.17,1.40,0.00
MISTRESS,5.41,1.68,5.17,1.40,4.72,1.31,5.54,1.29,1.18
MIXTURE,4.39,1.78,3.50,0.80,5.88,1.33,3.57,1.61,0.00
MOAN,4.81,1.66,3.28,0.77,5.10,1.45,3.83,1.63,0.00
MOCKER,3.78,1.86,5.47,1.04,2.95,1.22,4.43,1.73,0.00
MODERNIST,3.00,1.59,6.14,0.85,2.78,1.09,3.57,1.84,0.00
MOHAIR,5.14,1.92,5.83,1.01,3.77,1.54,6.14,0.80,0.00
MOLASSES,4.57,2.05,6.06,1.18,3.09,1.29,6.09,1.25,0.00
MOMENT,3.22,1.85,3.50,0.87,5.88,1.23,3.20,1.55,0.34
MONARCH,5.60,1.34,4.56,1.12,4.51,1.44,5.14,1.91,0.00
MONEY,5.73,1.67,2.47,0.69,6.67,0.69,6.00,1.12,0.00
MONOCLE,5.35,1.73,5.31,1.27,3.01,1.25,6.37,0.96,0.00
MONSOON,5.42,1.38,5.08,0.98,3.48,1.42,5.60,1.10,0.00
MONUMENT,5.49,1.48,4.44,0.86,4.55,1.30,5.86,1.20,0.00
MOONLIGHT,6.19,1.04,3.78,0.85,4.67,1.13,4.71,1.41,0.00
MORAL,3.32,1.63,5.39,0.98,5.33,1.28,1.97,1.22,1.04
MORASS,2.62,1.95,6.47,0.87,1.95,0.92,4.24,1.97,0.00
MORTAL,4.08,1.75,5.08,0.95,4.54,1.37,4.14,2.06,0.00
MORTAR,4.16,1.87,5.51,1.08,3.39,1.26,6.23,0.96,1.51
MOTHER,6.54,0.92,1.44,0.93,6.38,0.77,6.60,0.60,0.00
MOTIVE,2.81,1.78,5.11,0.94,5.40,1.33,2.43,1.40,0.00
MOTOR,5.27,1.43,3.44,1.04,5.45,1.29,5.94,1.26,0.34
MOUNTAIN,6.38,1.10,2.83,0.90,5.50,1.14,6.62,0.54,0.00
MOUSE,6.22,1.04,2.42,0.68,5.02,1.18,6.69,0.62,0.00
MOVIE,5.68,1.58,3.86,0.92,4.94,1.56,6.03,1.28,0.00
MUD,5.84,1.42,2.39,0.59,5.07,1.31,6.37,1.02,0.00
MULE,6.14,1.19,3.39,0.79,4.11,1.26,6.71,0.56,0.17
MULTITUDE,4.42,1.75,4.94,1.10,4.47,1.31,3.63,1.67,0.00
MURDER,5.76,1.42,3.81,0.94,4.98,1.29,4.35,1.73,0.00
MUSCLE,5.59,1.36,3.97,0.93,5.40,1.15,6.03,1.03,0.00
MUSIC,5.86,1.30,2.72,0.69,6.00,1.05,5.26,1.36,0.00
MUSSEL,5.62,1.42,4.14,1.00,3.96,1.46,6.54,0.69,0.00
MUTILATION,5.08,1.51,5.74,0.87,3.63,1.25,4.66,1.53,0.00
MUZZLE,5.19,1.63,4.61,1.03,3.69,1.18,6.17,1.18,0.00
MYSTERY,4.78,1.70,3.42,1.04,5.48,1.32,2.44,1.31,0.00
NAIL,6.03,1.52,2.72,0.73,5.75,1.30,6.57,0.69,0.85
NAMESAKE,3.32,1.95,5.19,1.13,3.96,1.34,3.46,1.87,0.00
NAPKIN,5.87,1.44,3.42,0.89,4.56,1.33,6.57,0.80,0.00
NARROWNESS,4.03,1.99,4.17,0.96,4.01,1.33,2.97,1.36,0.00
NATION,4.38,1.68,4.25,1.04,4.97,1.22,4.17,1.84,0.00
NATIVE,5.05,1.52,4.25,0.79,4.80,1.23,4.86,1.81,0.17
NATURE,5.27,1.60,3.42,0.79,5.70,1.19,4.23,1.88,0.67
NAVY,5.68,1.38,3.53,0.80,4.65,1.42,4.89,1.74,0.54
NEARNESS,4.08,1.73,3.97,0.96,4.39,1.36,2.74,1.20,0.00
NECESSITY,2.76,1.62,5.11,0.94,5.00,1.26,2.74,1.48,0.00
NEEDLE,6.00,1.35,2.64,0.85,5.09,1.66,6.43,1.13,0.57
NEGLECT,3.78,1.58,4.67,0.94,5.09,1.14,2.74,1.56,0.00
NEIGHBOUR,5.54,1.31,3.23,0.86,5.65,1.14,5.37,1.29,0.00
NEIGHBOURHOOD,4.62,1.68,4.03,1.01,5.07,1.13,4.40,1.50,0.00
NERVE,5.05,1.59,4.80,1.12,5.50,1.46,5.09,1.63,1.12
NET,5.65,1.34,2.69,0.62,4.96,1.49,6.37,0.90,0.55
NEUTRALITY,3.14,1.73,5.97,0.87,4.09,1.05,2.57,1.64,0.00
NEWBORN,5.38,1.75,4.06,0.97,3.83,1.05,4.66,1.76,0.00
NEWSPAPER,6.19,1.33,2.92,1.09,6.48,0.72,6.17,1.21,0.00
NEWT,4.78,1.53,4.28,1.04,3.35,1.45,6.40,0.99,0.00
NICETY,2.27,1.69,5.69,1.20,3.02,0.83,2.29,1.30,0.00
NIGHT,6.32,0.93,2.22,0.79,6.75,0.50,5.17,1.44,0.00
NIGHTINGALE,5.57,1.44,4.19,0.77,3.75,1.31,6.57,0.69,0.00
NIP,4.92,1.76,3.03,1.01,4.77,1.50,5.37,1.22,0.93
NOB,3.78,2.08,4.75,1.66,2.65,1.41,5.11,1.80,0.00
NOD,5.14,1.89,2.03,0.88,5.52,1.32,4.49,1.27,0.00
NOMAD,5.22,1.40,5.11,0.91,3.42,1.14,5.34,1.58,0.00
NOMINATON,3.78,1.55,5.94,0.91,4.44,1.04,3.37,1.64,0.00
NONSENSE,3.57,1.73,3.36,0.98,5.69,1.26,2.40,1.31,0.00
NORMAL,3.05,1.90,3.75,0.76,6.05,1.21,2.23,1.37,0.00
NOSE,6.08,1.38,2.06,0.62,6.15,0.96,6.63,0.64,0.00
NOTE,5.11,2.04,2.92,0.76,6.14,1.12,5.88,1.49,1.50
NOTICE,4.73,1.77,3.69,0.88,6.34,1.01,4.97,1.86,0.99
NOUN,3.38,2.03,4.14,0.79,4.98,1.37,3.80,1.83,0.00
NOVEL,5.92,1.38,4.75,1.04,5.18,1.35,5.43,1.76,0.54
NOZZLE,5.19,1.47,4.11,0.84,4.39,1.17,5.83,1.18,0.00
NUMBER,5.05,2.03,2.39,0.68,6.49,0.77,4.17,2.14,0.17
NURSE,6.27,1.08,2.56,0.68,5.26,1.25,6.06,1.31,0.00
NUTRIENT,3.84,2.03,6.11,0.81,3.99,1.69,4.43,1.70,0.00
OAK,6.30,1.04,3.11,0.81,4.78,1.41,6.57,0.73,0.00
OATH,4.49,1.80,4.08,1.14,4.02,1.50,3.29,1.75,0.00
OBJECT,4.14,1.88,3.39,0.95,5.86,1.11,5.06,1.64,1.33
OBLIVION,3.92,2.08,6.39,0.72,3.79,1.44,2.29,1.41,0.00
OBSERVATION,3.51,1.50,5.39,0.86,5.00,1.15,3.23,1.61,0.00
OBSERVER,4.95,1.84,4.86,1.13,4.69,1.58,5.26,1.46,0.81
OBSTRUCTION,4.19,1.52,5.42,1.06,4.45,1.19,4.31,1.49,0.00
OCCUPATION,3.81,1.93,4.89,1.07,5.29,1.18,3.86,1.68,0.00
OCEAN,6.30,0.93,3.17,0.69,5.00,1.31,6.43,0.93,0.00
ODOUR,5.62,1.51,4.61,0.92,4.54,1.36,4.89,1.74,0.00
OFFAL,4.08,2.20,6.33,0.78,2.76,1.41,6.14,0.99,0.00
OFFENSE,3.76,1.75,4.92,0.95,4.51,1.45,3.11,1.53,0.00
OFFSHOOT,2.95,1.71,5.86,1.11,3.73,1.39,3.43,1.81,0.00
